Date,eindend,vindend
19620905,19.106871,35.05032
19620912,19.182159,35.45108
19620919,19.13405,35.478222
19620926,18.2523,33.821388
19621003,18.13061,33.804779
19621010,18.325371,34.39397
19621017,18.0511,34.14106
19621024,17.05127,33.022339
19621031,17.628759,33.910221
19621107,18.23068,35.225441
19621114,18.91785,36.215061
19621121,19.185989,36.684608
19621128,19.69128,37.560421
19621205,20.006479,38.065311
19621212,19.66596,37.86335
19621219,19.34202,37.781261
19621226,19.400169,38.039242
19630102,19.59794,37.910599
19630109,20.619419,39.13052
19630116,20.79665,39.23259
19630123,21.126471,39.772991
19630130,21.178419,39.8936
19630206,21.31785,40.232269
19630213,21.37323,40.14378
19630220,21.33473,40.031109
19630227,21.237539,39.632278
19630306,21.07375,39.492538
19630313,21.266701,40.08466
19630320,21.178909,40.10323
19630327,21.34123,40.528671
19630403,21.48245,40.918758
19630410,21.67417,41.426022
19630417,21.8006,41.811909
19630424,21.98431,42.345181
19630501,22.059349,42.523609
19630508,22.190161,42.641911
19630515,22.52475,42.973621
19630522,22.64662,42.87849
19630529,22.729971,43.0229
19630605,22.811649,43.144741
19630612,22.87682,43.093491
19630619,22.922649,42.942982
19630626,22.72809,42.517941
19630703,22.80472,42.820499
19630710,22.891609,42.864922
19630717,22.72053,42.334148
19630724,22.43396,41.92205
19630731,22.604151,42.41177
19630807,22.715599,42.936371
19630814,22.94578,43.624458
19630821,23.08984,43.807251
19630828,23.457861,44.372269
19630904,23.737789,44.768959
19630911,23.76696,45.07592
19630918,23.79838,44.83865
19630925,23.62509,44.803902
19631002,23.561899,44.449421
19631009,23.622721,44.347721
19631016,23.89921,44.95715
19631023,23.913139,44.874561
19631030,23.83692,45.24194
19631106,23.63563,44.75465
19631113,23.878281,45.12767
19631120,23.567711,44.682831
19631127,23.271191,44.487041
19631204,23.678551,45.439541
19631211,23.53932,45.5075
19631218,23.428431,45.834869
19631225,23.41396,45.677448
19640101,24.008551,46.354031
19640108,24.44861,46.753189
19640115,24.528891,47.077301
19640122,24.587311,47.288399
19640129,24.51185,47.03949
19640205,24.534281,47.155918
19640212,24.812441,47.705372
19640219,24.91819,47.81683
19640226,25.191999,48.083321
19640304,25.34491,48.210529
19640311,25.605061,48.722061
19640318,25.811649,49.052299
19640325,25.93486,48.89325
19640401,26.14843,49.087872
19640408,26.498569,49.393768
19640415,26.60885,49.622349
19640422,26.641159,49.845879
19640429,26.258101,49.256828
19640506,26.43289,50.11594
19640513,26.44051,50.147678
19640520,26.44401,50.02618
19640527,26.383739,49.915138
19640603,26.16226,49.45673
19640610,26.07049,49.402641
19640617,26.445801,50.200329
19640624,26.60833,50.403229
19640701,26.94241,51.06971
19640708,27.21209,51.588371
19640715,27.466471,51.795341
19640722,27.62108,51.974468
19640729,27.63205,51.666801
19640805,27.369631,51.180439
19640812,27.57892,51.32032
19640819,27.69961,51.423592
19640826,27.51734,50.876549
19640902,27.833599,51.545891
19640909,28.08886,51.976768
19640916,28.219151,52.133518
19640923,28.504601,52.537708
19640930,28.79533,52.747108
19641007,28.95706,53.043911
19641014,29.23402,53.131802
19641021,29.440559,53.33857
19641028,29.369169,53.09016
19641104,29.487419,53.46114
19641111,29.428341,53.503151
19641118,29.817169,54.294811
19641125,29.77478,53.977909
19641202,29.28381,53.00436
19641209,28.96994,52.782391
19641216,28.92816,52.804298
19641223,29.082861,53.17712
19641230,29.12709,53.301319
19650106,29.8948,53.81049
19650113,30.53227,54.482601
19650120,30.82773,54.992031
19650127,31.25724,55.427601
19650203,31.6075,55.79089
19650210,31.52562,55.208172
19650217,31.734909,54.92614
19650224,32.399971,55.839142
19650303,32.79039,56.04784
19650310,32.88353,55.701221
19650317,33.154949,56.015862
19650324,33.271568,56.018089
19650331,33.166271,55.48682
19650407,33.460819,55.75848
19650414,34.00882,56.81942
19650421,34.279701,56.881771
19650428,34.580212,57.30584
19650505,34.659279,57.713131
19650512,34.761768,57.961811
19650519,35.01078,57.870991
19650526,34.557961,57.07386
19650602,33.93079,56.276539
19650609,33.056431,54.925812
19650616,32.819489,54.955391
19650623,32.587231,54.61578
19650630,31.75877,54.131222
19650707,32.236691,54.55349
19650714,32.710609,55.30793
19650721,32.238201,54.237492
19650728,32.309978,54.264198
19650804,33.000488,55.47295
19650811,33.447079,55.8466
19650818,33.838211,56.46994
19650825,33.911518,56.433361
19650901,34.302052,56.776901
19650908,34.831928,57.734612
19650915,35.021099,58.212158
19650922,35.276661,58.702278
19650929,35.252079,58.583248
19651006,35.699371,58.958302
19651013,36.592041,59.574699
19651020,37.07859,59.90324
19651027,37.38166,60.27129
19651103,37.571732,60.303398
19651110,37.84877,60.12524
19651117,38.374481,60.70042
19651124,38.814018,60.442471
19651201,39.48307,60.455711
19651208,40.04998,60.44738
19651215,40.828991,61.047642
19651222,40.881191,61.178478
19651229,40.676868,60.868382
19660105,41.729969,61.59911
19660112,42.36385,61.928249
19660119,43.181881,62.342152
19660126,43.72562,62.496101
19660202,43.450371,61.786839
19660209,44.365849,62.848339
